PGC,RA_HEC,DEC_HEC,F_ASTROM,D_v2,E_D_v2,logSFR_HECv2,logSFR_HECv2_origin,logSFR_HECv2_method,logM_star_HECv2,logM_star_HECv2_origin,logM_star_HECv2_method,Metal_v2,Metal_v2_method,U_v2,G_v2,R_v2,I_v2,Z_v2,Y_v2,U_E_v2,G_E_v2,R_E_v2,I_E_v2,Z_E_v2,Y_E_v2,Optical_phot_origin_v2,Optical_phot_QF_v2,Activity_class,Activity_class_method,SFG_prob_v2,AGN_prob_v2,LIN_prob_v2,COMP_prob_v2,PASS_prob_v2,Duplication_flag,Blending_flag,Star_contamination,WC_notes,Notes,logSFR_total,SFR_total,logM_total,M_total,sSFR,logsSFR,ID
31621,159.538125,79.366361,0,36.3473,4.3628,-1.0159299072581802,L19,WISE4,9.05407009274182,L19,W4W1,8.515747445108012,MZ/C20,15.459442138671875,14.601557731628418,14.215862274169922,14.021163940429688,14.010771751403809,14.1586999893188,0.009432565420866013,0.005440189968794584,0.007517356891185045,0.006708164699375629,0.010655560530722141,0.00332199991680682,NNNNNP,111111,0.0,PH,0.8126682832834882,0.05472103617761529,0.04269218184335222,0.05344339614585739,0.03647510254968709,,,,,,-1.0159299072581802,0.09639845928833507,9.05407009274182,1.132583141178029E9,8.511380382023746E-11,-10.07,14883
31636,159.639654,-7.171686,1,31.59143756326834,8.544014,1.1163820003434284,L19,FUV+WISE4,10.12638200034343,L19,SSFRLIKE,8.736562601892729,MZ/C20,,13.07304989364612,12.339278772989873,12.15891212506061,11.820598715237224,11.9406995773315,,3.0341256562150187E-4,2.2864114691975668E-4,3.060217980870946E-4,2.507619661757702E-4,5.72999997530133E-4,MPPPPP,211111,,,,,,,,,,,,,1.1163820003434284,13.073202861824372,10.12638200034343,1.3377716875169622E10,9.772372209558077E-10,-9.010000000000002,14976
5808663,338.138754,12.157222,1,31.36239418872333,8.500769,,,,7.527721496084986,K23,g_r_PSDR2_noEBV,8.095058551117752,MZ/C20,17.535581588745117,16.732776641845703,16.331745147705078,16.044239044189453,16.126771926879883,17.5720996856689,0.16567111015319824,0.05256656929850578,0.02183251827955246,0.045466098934412,0.2105170637369156,0.0215990003198385,NNNNNP,000001,,,,,,,,,,,,,,,7.527721496084986,3.3707108274129786E7,,,14986
1387958,343.803282,11.036083,1,31.759627489845343,8.575879,-2.536118657684074,K23,noEBV,8.258775633542559,K23,u_r_SDSSDR17_noEBV_median,8.299079812344276,MZ/C20,16.80062,16.2913,15.95875,15.68409,15.65866,,0.02347412,0.004686909,0.005079957,0.006048129,0.01720333,,SSSSSM,000002,,,,,,,,,,,,,-2.536118657684074,0.002909921962270727,8.258775633542559,1.8145779681166688E8,1.6036356736387052E-11,-10.794894291226633,15109
132471,329.290773,-33.478844,0,35.30717554997181,9.245895,-1.8713757207798263,K23,noEBV,8.642539578044403,K23,u_r_SDSSDR17_noEBV_median,8.405082521743093,MZ/C20,,,,,,,,,,,,,MMMMMM,222222,,,,,,,,,,,,,-1.8713757207798263,0.01344696514652098,8.642539578044403,4.390758775994068E8,3.0625606717546416E-11,-10.513915298824228,15148
31680,159.820709,-28.713583,0,36.87125222435968,9.54093,-0.7356097215119289,L19,WISE4,9.104390278488072,L19,W4W1,8.528861825984775,MZ/C20,,15.774016616324838,15.02531096709382,14.592340826935517,14.3132124599383,14.3318004608154,,0.0021764397470866617,0.002018660574261481,0.0017452331816618114,0.0021823339911291356,0.00312700006179512,MPPPPP,211111,,,,,,,,,,,,,-0.7356097215119289,0.18381894892710235,9.104390278488072,1.2717164190953593E9,1.445439770745924E-10,-9.840000000000002,15205
761342,332.8563,-26.9827,1,38.529264383080786,9.853319,,,,6.945518745609883,K23,g_r_PSDR2_noEBV,7.932124531182599,MZ/C20,,19.5354399659308,19.312834093004785,19.209634050848866,19.75081919153427,,,0.02041490575559552,0.022259419279206268,0.028550924388049372,0.06234606963937675,,MPPPPM,211112,,,,,,,,,,,,,,,6.945518745609883,8821018.7579745,,,15265
29782,153.382387,13.626082,1,37.07236897892188,9.57877,,,,,,,,,,,,,,,,,,,,,MMMMMM,222222,,,,,,,,,,,,,,,,,,,15310
166465,50.720148,58.653299,0,37.14297700443862,9.592141,0.3280252661366863,K23,noEBV,10.93374452197314,K23,u_r_SDSSDR17_noEBV_median,8.785193920258385,MZ/C20,,,,,,,,,,,,,MMMMMM,222222,,,,,,,,,,,,,0.3280252661366863,2.128262859243967,10.93374452197314,8.585083469019167E10,2.4790240734690468E-11,-10.605719255836453,15325
31706,159.891938,-23.922652,0,32.6588,3.76,-0.6532129267063307,L19,FUV+WISE4,10.98678707329367,L19,SSFRLIKE,8.78622336149646,MZ/C20,,13.703771056659606,12.935350649710415,12.460085695309399,12.123426703200396,12.1743001937866,,6.375630085557943E-4,3.8407701287119145E-4,3.494506109338265E-4,4.3908520443528654E-4,9.11000010091811E-4,MPPPPP,211111,4.0,PH,0.01740565216130273,0.03732306077773186,0.1782486986798082,0.03049097208224668,0.7365316162989105,,,,,,-0.6532129267063307,0.22222201093149263,10.98678707329367,9.70034260438438E10,2.2908676527677723E-12,-11.64,15330
