PGC,RA_HEC,DEC_HEC,F_ASTROM,D_v2,E_D_v2,logSFR_HECv2,logSFR_HECv2_origin,logSFR_HECv2_method,logM_star_HECv2,logM_star_HECv2_origin,logM_star_HECv2_method,Metal_v2,Metal_v2_method,U_v2,G_v2,R_v2,I_v2,Z_v2,Y_v2,U_E_v2,G_E_v2,R_E_v2,I_E_v2,Z_E_v2,Y_E_v2,Optical_phot_origin_v2,Optical_phot_QF_v2,Activity_class,Activity_class_method,SFG_prob_v2,AGN_prob_v2,LIN_prob_v2,COMP_prob_v2,PASS_prob_v2,Duplication_flag,Blending_flag,Star_contamination,WC_notes,Notes,logSFR_total,SFR_total,logM_total,M_total,sSFR,logsSFR,ID
4080279,238.864644,-25.252438,0,0.155295119735937,2.546871,,,,,,,,,,17.03050110724621,16.504959265789623,16.238999388032493,16.106614496885115,16.2233009338379,,0.003542787844260022,0.0028690451120228027,0.0020593346775367744,0.002210532103625683,0.00657400023192167,MPPPPP,211111,,,,,,,,,,,,,,,,,,,5771
30114,154.679245,46.045608,0,10.941690691101353,4.616666,-3.1135664190369945,K23,noEBV,6.859298521382896,K23,u_r_SDSSDR17_noEBV,7.9079872598163545,MZ/C20,15.863899230957031,15.350397109985352,15.081657409667969,14.926323890686035,15.188987731933594,16.6166000366211,0.05390740558505058,0.03739335760474205,0.012554336339235306,0.026929784566164017,0.130111962556839,0.0202239993959665,NNNNNP,111111,0.0,PH,0.804616461017923,0.07462742184839173,0.039653501513260296,0.04560849057193903,0.03549412504848619,,,,,,-3.1135664190369945,7.698986905235002E-4,6.859298521382896,7232667.853083981,1.0644740034553342E-10,-9.97286494041989,5839
2429,10.092075,41.685328,0,0.8655,0.0486,,,,,,,,,,,,,,,,,,,,,MMMMMM,222222,,,,,,,,,,,,,,,,,,,5845
5888434,215.577149,-0.87897,0,1.0803718780471094,2.724973,,,,4.935280214645273,K23,u_r_SDSSDR17_noEBV,7.3692783799149275,MZ/C20,22.14016,20.36697,19.05409,18.62651,18.2397,18.2390995025635,0.1623079,0.02352526,0.01257929,0.01435424,0.03443665,0.0175199992954731,SSSSSP,111111,,,,,,,,,,,,,,,4.935280214645273,86154.9460164535,,,5887
4202743,142.495081,49.037153,0,2.9113211913617745,3.076909,-4.04774730859997,K23,noEBV,6.243133809177497,K23,u_r_SDSSDR17_noEBV,7.73547449137568,MZ/C20,18.44762,17.27656,16.65956,16.36593,16.0764,16.5725994110107,0.03967867,0.006153771,0.005059069,0.005445017,0.0145891,0.00816699955612421,SSSSSP,111111,1.0,PH,0.04228590199203777,0.4765567537023223,0.07410162000213799,0.3634657799304348,0.04358994437306718,,,S?,,,-4.04774730859997,8.958858792631384E-5,6.243133809177497,1750385.91173376,5.118219206733457E-11,-10.290881117777467,5898
732560,326.166328,-29.166017,1,0.9162681102752686,0.5340572,-5.360818143499156,K23,noEBV,5.205201867628962,K23,u_r_SDSSDR17_noEBV_median,7.444856353890858,MZ/C20,,16.933033265230723,16.410796446577,16.21536667549546,16.091407164471253,16.2373008728027,,0.0017114054953193346,0.0011953519339516967,9.827036526280706E-4,0.002168235052119959,0.0046879998408258,MPPPPP,200000,,,,,,,,,,,,,-5.360818143499156,4.3569427814449284E-6,5.205201867628962,160399.0780254809,2.7163141054668574E-11,-10.566020011128119,5920
5880584,220.404639,1.30562,0,3.7151055119615504,3.2313972,,,,6.015492850289983,K23,u_r_SDSSDR17_noEBV,7.671736411913436,MZ/C20,21.35598,19.68735,18.72837,18.03295,17.5591,17.5552005767822,0.1914742,0.01704339,0.01113033,0.008824504,0.01750945,0.0106199998408556,SSSSSP,111111,,,,,,,,,,,,,,,6.015492850289983,1036317.5435858774,,,5943
4203231,142.708659,38.519751,0,2.7453040491380296,3.0450444,,,,,,,,,19.45026,18.41392,17.55845,17.04266,16.7544,16.5893993377686,0.05100815,0.007800949,0.005922033,0.005557116,0.01095522,0.00531100016087294,SSSSSP,111111,,,,,,,,,,S?,,,,,,,,,5990
2277963,201.200895,46.249494,0,3.9107972639657933,3.268952,,,,6.0676953292412845,K23,u_r_SDSSDR17_noEBV,7.686352859908722,MZ/C20,18.64365,17.80575,17.38275,17.17996,17.08429,16.7049007415771,0.03409487,0.006400308,0.00551477,0.006162823,0.01193327,0.00744700012728572,SSSSSP,111111,,,,,,,,,,S?,,,,,6.0676953292412845,1168679.2394201884,,,6007
4203589,142.886922,53.074181,0,2.4032541348076673,2.979323,,,,6.114703557290199,K23,u_r_SDSSDR17_noEBV,7.699514909625304,MZ/C20,19.64204,18.0239,17.15578,16.79976,16.56688,16.6364994049072,0.03411537,0.006457347,0.004948072,0.00527678,0.01160818,0.00782500021159649,SSSSSP,111111,,,,,,,,,,S?,,,,,6.114703557290199,1302277.5604421103,,,6015
5888461,216.164379,-0.893799,0,0.563116585069006,2.625395,,,,4.275729945436915,K23,u_r_SDSSDR17_noEBV,7.18460437176138,MZ/C20,19.98687,19.44546,18.42402,17.97029,17.65738,17.7677993774414,0.1205291,0.01660934,0.009991697,0.01022735,0.02464017,0.0246149990707636,SSSSSP,111111,,,,,,,,,,,,,,,4.275729945436915,18868.177164316472,,,6044
5888477,216.321612,-0.840061,0,0.9162681102752686,0.5340572,,,,5.040654940428835,K23,g_r_SDSSDR17_noEBV,7.398783276033148,MZ/C20,21.91989,20.14375,18.82619,18.40575,18.00551,18.0561008453369,0.2402859,0.02463029,0.0120199,0.01298449,0.03119623,0.0205990001559258,SSSSSP,111111,,,,,,,,,,,,,,,5.040654940428835,109813.29941910687,,,6061
5896555,213.303129,1.783779,0,0.9255554352962223,2.6950996,-4.707305174940128,K23,noEBV,5.456994103862304,K23,g_r_SDSSDR17_noEBV,7.515358010117664,MZ/C20,24.63465,19.74823,18.75932,17.8863,18.37801,15.9701995849609,1.809514,0.07681745,0.05607321,0.02980785,0.06260964,0.00740299979224801,SSSSSP,111111,,,,,,,,,,S?,,,-4.707305174940128,1.9619811253293935E-5,5.456994103862304,286413.9085062855,6.850160090205036E-11,-10.164299278802432,6095
3254049,351.654135,-27.051201,1,6.963179940428053,3.854754,-3.707001489050561,K23,noEBV,5.971345099941205,K23,g_r_PSDR2_noEBV,7.659375223967048,MZ/C20,,19.34793867053263,19.039266524841125,18.89765257925603,18.877483815768336,18.976900100708,,0.009972952590445417,0.009361250353480914,0.01158539875021679,0.01930162172086133,0.03889200091362,MPPPPP,211111,0.0,PH,0.7173588544147618,0.1287593525342503,0.035626485695269695,0.08219104020907703,0.036064267146641286,,,,,,-3.707001489050561,1.9633535451416977E-4,5.971345099941205,936149.2634537211,2.0972654915075483E-10,-9.678346588991767,6107
